date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2023-10-24,103.07291666666669,193.90972222222223,2.8354166666666667,22.540625,99.13125,0.689861111111111,city center gwalior India,26.2037247,78.1573628,train,297.9744908,542.0257494,1.213910526,-1.634037172,98747.86337,0.0,206.3985608,57.7741874,2.035597269749435,1103.3461356125315
2023-10-25,89.53125,173.2013888888889,2.8145833333333328,20.98993055555556,99.690625,0.6421180555555556,city center gwalior India,26.2037247,78.1573628,train,297.6150985,463.9673214,1.587919662,-1.32731987,98834.01139,0.0,223.0038454,60.44695664,2.0696054914555604,960.2293162253668
2023-10-26,95.125,158.88194444444443,2.84375,27.04583333333333,55.553125,0.827013888888889,city center gwalior India,26.2037247,78.1573628,train,297.5020344,503.3671549,1.450328518,-1.318176207,98797.65519,0.0,219.7203522,57.43084176,1.9598574751305216,986.5278812659482
2023-10-27,77.33333333333333,136.42013888888889,2.8250000000000006,25.1375,52.38125,0.7684722222222223,city center gwalior India,26.2037247,78.1573628,train,297.1593981,461.5411232,0.394136715,-0.078122063,98737.42072,0.0,222.2749469,52.12945194,0.4018044385498587,185.4492718750472
2023-10-28,91.39583333333331,148.63194444444446,2.834375,22.58645833333333,54.5,0.6911805555555556,city center gwalior India,26.2037247,78.1573628,train,297.0628706,405.8937825,-0.143157851,0.429439397,98780.02586,0.0,210.7581051,52.42280114,0.4526724709971458,183.73694148665305
2023-10-29,92.34375,151.88888888888889,2.842708333333333,26.792013888888885,54.434375,0.8195833333333334,city center gwalior India,26.2037247,78.1573628,train,297.7728047,369.3857293,-0.432188032,0.421345395,98766.85745,0.0,209.3281368,55.6120265,0.6035879694723372,222.95678230024535
2023-10-30,83.30208333333333,141.60069444444443,2.840625,26.35590277777777,58.1,0.8062152777777777,city center gwalior India,26.2037247,78.1573628,train,298.5723675,415.4056445,-0.621705025,0.510239357,98822.73417,0.0,205.6444637,57.57140069,0.8042769047672724,334.1011659813139
2023-10-31,85.58333333333333,150.31944444444443,2.8875,23.73194444444444,52.003125,0.7261458333333334,city center gwalior India,26.2037247,78.1573628,train,298.1828981,437.181257,-1.370630433,0.020574992,98944.77409,0.0,205.1119424,61.64877335,1.3707848533455451,599.2814452621661
2023-01-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.6669032,442.4308585,-1.182611179,-0.395019224,98938.58585,0.0,209.1700121,62.31381633,1.2468397603643109,551.6403855899164
2023-02-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.4635342,497.8764476,0.166328842,-0.381226242,98779.93524,0.0,207.8591973,63.21559249,0.4159311616968648,207.08232923177624
