station,date,lat,lon,elevation,doy,pm25,pm10,no2,so2,o3,co,u10,v10,t2m,blh,rh,ventilation_index,lag_PM25_D1,lag_PM25_D2,lag_AOD_D1,lag_NO2_D1,lag_CO_D1,split
mahakaleshwar temple ujjain India,2024-01-23,23.1817124,75.7703821,498.0,23,56.33695652173913,79.30434782608695,22.265416666666667,9.33375,108.36750000000002,1.22625,-1.995383947,-1.667680609,288.7436304,473.0859619,49.6186829,1230.2705461461526,59.92857142857143,75.88541666666667,0.1734042763710022,2.2321120923152193e-05,0.0062506855465471745,train
mahakaleshwar temple ujjain India,2024-01-24,23.1817124,75.7703821,498.0,24,78.73913043478261,101.8695652173913,30.811666666666667,10.265,120.13,1.4479166666666667,-1.37665,-0.192158213,289.683317,521.4857559,50.78866539,724.8633250987714,56.33695652173913,59.92857142857143,0.13282248377799988,2.4411239792243578e-05,0.03483039513230324,train
mahakaleshwar temple ujjain India,2024-01-25,23.1817124,75.7703821,498.0,25,60.76136363636363,87.95454545454545,29.594166666666663,7.700416666666666,126.4275,1.4954166666666666,-2.127962207,0.361887516,289.729939,414.1007409,51.88957117,893.8425382920301,78.73913043478261,56.33695652173913,0.16696125268936157,3.1004623451735824e-05,0.024799205362796783,train
mahakaleshwar temple ujjain India,2024-01-26,23.1817124,75.7703821,498.0,26,54.07291666666666,82.69791666666667,27.682500000000005,6.700833333333333,117.43375,1.2445833333333332,-1.969764031,-0.273621417,290.6479634,389.8628415,49.55908324,775.311541222309,60.76136363636363,78.73913043478261,0.2846418619155884,1.8101040041074157e-05,0.007064478471875191,train
mahakaleshwar temple ujjain India,2024-01-27,23.1817124,75.7703821,498.0,27,66.77083333333333,97.79166666666669,33.53458333333333,9.112916666666669,119.96250000000002,1.3245833333333332,-1.795262218,1.107512565,291.0467707,364.7473893,53.50757045,769.3965999797693,54.07291666666666,60.76136363636363,0.26156488060951233,1.3046592357568443e-05,0.0,train
mahakaleshwar temple ujjain India,2024-01-28,23.1817124,75.7703821,498.0,28,76.26086956521739,101.8586956521739,26.086666666666662,13.896666666666668,123.14,1.382083333333333,1.188230182,1.283525829,292.8178918,418.9308704,55.86698447,732.7494356996598,66.77083333333333,54.07291666666666,,4.70833128929371e-06,0.0,train
mahakaleshwar temple ujjain India,2024-01-29,23.1817124,75.7703821,498.0,29,74.1875,96.82291666666669,22.71708333333333,12.39125,123.05125,1.3029166666666665,1.410359262,-1.078787074,292.223537,438.2311647,54.95614556,778.140463129871,76.26086956521739,66.77083333333333,0.9045103192329407,4.621812695404515e-05,0.0,train
mahakaleshwar temple ujjain India,2024-01-30,23.1817124,75.7703821,498.0,30,65.78125,94.52083333333331,22.06708333333333,10.477083333333333,123.5975,1.1445833333333333,-1.672053765,-0.608134621,292.3881257,486.3721081,57.61075116,865.3585676183043,74.1875,76.26086956521739,0.8573092222213745,2.321519423276186e-05,0.004446758423000574,train
mahakaleshwar temple ujjain India,2024-01-31,23.1817124,75.7703821,498.0,31,73.16666666666667,100.1875,28.06583333333333,8.75125,123.4025,1.3412499999999998,0.871406104,0.555842189,292.6480204,573.9077255,59.28271846,593.1855217228195,65.78125,74.1875,0.2046307474374771,2.854096601367928e-05,0.0329248309135437,train
maharaj bada gwalior India,2023-10-01,26.2037247,78.1573628,221.0,274,,,,,,,0.946863924,-1.402718369,302.0891587,412.6371259,68.41421964,698.3412632942191,,,,,,train
